Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),Приоритет,Статус
"1211176346533592",2025-08-28,,2025-08-28,Ремонт дома,К исполнению,,,,,,,Дела,,,,Средний,По плану
"1211176346533596",2025-08-28,,2025-08-28,Ремонт двух диванов,,,,,,,,,Ремонт дома,,,,
"1211176346533597",2025-08-28,,2025-08-28,Покраска стен в белый,,,,,,,,,Ремонт дома,,,,
"1211176346533601",2025-08-28,,2025-08-28,Заказать на Тему шпаклевку,,,,,,,,,Покраска стен в белый,,,,
"1211176346533602",2025-08-28,,2025-08-28,Купить краску,,,,,,,,,Покраска стен в белый,,,,
"1211176346533603",2025-08-28,,2025-08-28,Ремонт косяка у балкона,,,,,,,,,Ремонт дома,,,,
"1211176346533605",2025-08-28,,2025-08-28,Купить белый герметик,,,,,,,,,Ремонт косяка у балкона,,,,
"1211176346533607",2025-08-28,,2025-08-28,Ремонт столика,,,,,,,,,Ремонт дома,,,,
"1211176346533612",2025-08-29,,2025-08-29,Кошковы,В процессе,,,,,,,Дела,,,,Высокий,Отстаёт
"1211176346533616",2025-08-29,2025-09-05,2025-09-05,Начать давать антибиотики,,,,,,,,,Кошковы,,,,
"1211176346533617",2025-08-29,,2025-08-29,Отнести каки Мушу после аб,,,,,,,,,Кошковы,,,,
"1211176343400176",2025-08-28,,2025-09-01,Шенген,В процессе,,,2025-08-29,2025-11-01,,"Получение Шенгенской визы Испании",Дела,,,,Высокий,По плану
"1211176346533533",2025-08-28,2025-08-29,2025-08-29,Оплатить помогалу,,,,,,,,,Шенген,,,,
"1211176346533534",2025-08-28,,2025-08-28,Получить дату подачи,,,,,,,,,Шенген,,,,
"1211176346533535",2025-08-28,,2025-08-28,Выписка из банка,,,,,,,,,Шенген,,,,
"1211176346533536",2025-08-28,,2025-08-28,Спонсорское письмо,,,,,,,,,Шенген,,,,
"1211176346533537",2025-08-28,,2025-08-28,Бронь билетов,,,,,,,,,Шенген,,,,
"1211176346533538",2025-08-28,,2025-08-28,Бронь отеля,,,,,,,,,Шенген,,,,
"1211176346533539",2025-08-28,,2025-08-28,Анкеты,,,,,,,,,Шенген,,,,
